transaction_id,transaction_date,customer_name,customer_city,product_category,product_name,unit_price,quantity,total_amount,payment_method,delivery_status,merchant_name
TRX-10049,31-05-2025,MEGA PUTRI,yogyakarta,makanan,Lipstik Wardah,3610920,5,18054600.0,Transfer,Returned,PowerCell
TRX-10050,07-07-2025,siti aminah,Bandung,Makanan,Kaos Polos,5945544,15,89183160.0,COD,Returned,TrendShop
TRX-10051,2025-06-24,dewi lestari,surabaya,Macanan,Sepatu Nike,4372252,15,65583780.0,Kartu Kredit,Canceled,SportMax
TRX-10052,03-03-2025,Dewi Lestari,Medan,Rumah Tangga,Sepatu Nike,2598421,10,25984210.0,Transfer,pending,TechZone
TRX-10053,2025-08-02,Rudi Hartono,Denpasar,olahraga,Laptop Asus,2004109,2,4008218.0,Card,Delivered,BeautyHub
TRX-10054,20/04/2025,NANDA PRATAMA,Sur,Fashion,Powerbank 10K,7255547,10,72555470.0,,delivered,TechZone
TRX-10055,2025/04/28,mega putri,yogyakarta,elektronik,Kaos Polos,111087,10,1110870.0,E-Wallet,pending,BeautyHub
TRX-10056,2025-08-27,andi saputra,Mekesser,Rumah Tangga,Kaos Polos,1546176,0,0.0,E-Wallet,Delivered,SportMax
TRX-10057,21-04-2025,Nanda Pratama,,Rumah Tanggas,Powerbank 10K,3410011,5,17050055.0,Card,delivered,HomeEssence
TRX-10058,2025/07/08,nanda pratama,Med,kecantikan,Kaos Polos,5775570,0,0.0,Kartu Kredit,Pending,SportMax
TRX-10059,09-06-2025,mega putri,Jekerte,Acsesoris,Powerbank 10K,7122695,0,0.0,E-Wallet,Canceled,PowerCell
TRX-10060,2025/06/21,DEWI LESTARI,jakarta,elektronik,Vacuum Cleaner,275281,1,275281.0,COD,pending,GadgetMart
TRX-10061,23-04-2025,Nanda Pratama,Jak,Fashions,Laptop Asus,7784102,2,15568204.0,Ewallet,Canceled,GadgetMart
TRX-10062,2025/07/07,MEGA PUTRI,Mak,Kecantikans,Lipstik Wardah,5550306,1,5550306.0,,Delivered,HomeEssence
TRX-10063,22/04/2025,Ahmad Fauzi,yogyakarta,fashion,Smartwatch,5081595,100,508159500.0,Ewallet,delivered,BeautyHub
TRX-10064,2025/08/07,Budi Santoso,surabaya,,Lipstik Wardah,9120277,5,47157992.34770408,E-Wallet,Delivered,TechZone
TRX-10065,2025/05/07,SITI AMINAH,Denpeser,,Lipstik Wardah,7153230,3,21459690.0,,Canceled,TrendShop
TRX-10066,2025-03-24,dewi lestari,Jakarta,Makanans,Kaos Polos,6709908,1,6709908.0,Card,,TrendShop
TRX-10067,06/06/2025,Dewi Lestari,Bandung,Olahragas,Laptop Asus,3130389,3,9391167.0,Kartu Kredit,Returned,GadgetMart
TRX-10068,2025/07/17,mega putri,Makassar,Olahraga,Laptop Asus,160078,0,0.0,E-Wallet,pending,TechZone
TRX-10069,02/07/2025,Rudi Hartono,Makassar,,Vacuum Cleaner,1709066,3,5127198.0,Ewallet,Returned,PowerCell
TRX-10070,2025-06-01,rudi hartono,Yog,Rumah Tanggas,Kaos Polos,4556259,1,4556259.0,E-Wallet,pending,BeautyHub
TRX-10071,25/07/2025,Mega Putri,makassar,rumah tangga,Lipstik Wardah,960681,1,960681.0,Transfer,Delivered,TrendShop
TRX-10072,2025/07/25,dewi lestari,Jekerte,Rumah Tangga,Vacuum Cleaner,4386787,5,21933935.0,Ewallet,delivered,GadgetMart
TRX-10073,21-04-2025,BUDI SANTOSO,Jekerte,Rumah Tangga,Lipstik Wardah,121295,5,442074.435024895,Card,delivered,BeautyHub
TRX-10074,2025-05-21,DEWI LESTARI,jakarta,Makanans,Lipstik Wardah,7663287,0,0.0,Ewallet,Returned,HomeEssence
TRX-10075,11-03-2025,budi santoso,Surebeye,Kecantican,Kaos Polos,5301035,15,79515525.0,E-Wallet,Returned,HomeEssence
TRX-10076,25-08-2025,DEWI LESTARI,Medan,Makanan,Sepatu Nike,2076793,1,2076793.0,,Returned,SportMax
TRX-10077,2025-03-07,nanda pratama,jakarta,Olahraga,Smartwatch,3554473,15,53317095.0,Transfer,Pending,PowerCell
TRX-10078,29/04/2025,dewi lestari,Yogyekerte,Elektronik,Laptop Asus,736976,2,1473952.0,E-Wallet,delivered,TechZone
TRX-10079,06-04-2025,Budi Santoso,Denpasar,Makanan,Powerbank 10K,1291082,5,6455410.0,Card,Canceled,BeautyHub
TRX-10080,2025/03/09,mega putri,medan,makanan,Vacuum Cleaner,6611000,1,6611000.0,Ewallet,delivered,HomeEssence
TRX-10081,25/07/2025,budi santoso,,Kecantican,Headphone JBL,3724515,10,37245150.0,E-Wallet,delivered,BeautyHub
TRX-10082,23-04-2025,siti aminah,Mekesser,,Vacuum Cleaner,4565488,10,45654880.0,E-Wallet,Pending,HomeEssence
TRX-10083,24/06/2025,Mega Putri,Denpeser,Electronic,Smartwatch,9106842,0,0.0,Kartu Kredit,Returned,HomeEssence
TRX-10084,11/08/2025,Nanda Pratama,Ban,Aksesoris,Smartwatch,551157,10,7773748.037541517,Transfer,pending,TrendShop
TRX-10085,23-05-2025,Siti Aminah,Med,Kecantikans,Kaos Polos,5996594,15,89948910.0,Card,delivered,GadgetMart
TRX-10086,2025/06/07,NANDA PRATAMA,Jakarta,Fashion,Laptop Asus,4377576,1,4377576.0,Kartu Kredit,Delivered,SportMax
TRX-10087,2025-07-06,Nanda Pratama,Yog,Elektronik,Sepatu Nike,2954941,1,2954941.0,E-Wallet,Canceled,PowerCell
TRX-10088,23-04-2025,Siti Aminah,Mekesser,olahraga,Powerbank 10K,9799436,15,146991540.0,Ewallet,,BeautyHub
TRX-10089,08/08/2025,NANDA PRATAMA,bandung,Macanan,Smartwatch,7378141,2,14756282.0,Transfer,Returned,PowerCell
TRX-10090,17/04/2025,budi santoso,Sur,Rumah Tanggas,Lipstik Wardah,1757923,10,17579230.0,E-Wallet,Pending,GadgetMart
TRX-10091,06-07-2025,Budi Santoso,Med,Olahraga,Lipstik Wardah,8566999,5,56972152.29635817,Kartu Kredit,Canceled,TechZone
TRX-10092,2025-07-23,nanda pratama,denpasar,Olahraga,Laptop Asus,8220528,1,8220528.0,Ewallet,Canceled,HomeEssence
TRX-10093,27/06/2025,BUDI SANTOSO,Yogyakarta,Kecantikans,Headphone JBL,2033509,3,6100527.0,Card,Pending,TechZone
TRX-10094,2025/06/17,AHMAD FAUZI,,fashion,Sepatu Nike,6155525,10,61555250.0,E-Wallet,Pending,PowerCell
TRX-10095,27-03-2025,DEWI LESTARI,Den,Aksesoris,Smartwatch,3488618,1,3488618.0,COD,Pending,SportMax
TRX-10096,21-03-2025,Ahmad Fauzi,Denpeser,Electronic,Kaos Polos,2507184,0,0.0,Card,pending,HomeEssence
TRX-10097,2025/04/30,MEGA PUTRI,Surabaya,rumah tangga,Smartwatch,7315795,1,10126778.35944859,Ewallet,Canceled,BeautyHub
TRX-10098,18/04/2025,BUDI SANTOSO,Denpeser,Rumah Tangga,Vacuum Cleaner,2777423,0,0.0,Transfer,Delivered,PowerCell
TRX-10099,19-08-2025,Budi Santoso,bandung,Makanans,Sepatu Nike,5180397,2,10360794.0,Card,pending,BeautyHub
TRX-10100,06-03-2025,siti aminah,Yogyakarta,Aksesoriss,Vacuum Cleaner,7029451,15,105441765.0,E-Wallet,Delivered,HomeEssence
TRX-10101,2025/04/06,rudi hartono,medan,Acsesoris,Kaos Polos,8569981,2,17139962.0,E-Wallet,delivered,HomeEssence
TRX-10102,2025/06/03,andi saputra,surabaya,Elektroniks,Kaos Polos,6264624,1,6264624.0,Card,pending,BeautyHub
TRX-10103,2025-08-07,andi saputra,bandung,aksesoris,Kaos Polos,2265167,1,2265167.0,Ewallet,Pending,BeautyHub
TRX-10104,06/07/2025,rudi hartono,denpasar,Aksesoris,Lipstik Wardah,6892385,15,103385775.0,COD,Pending,BeautyHub
TRX-10105,2025/04/23,Siti Aminah,,Fashion,Sepatu Nike,3130761,1,3130761.0,COD,delivered,PowerCell
TRX-10106,2025-06-12,siti aminah,jakarta,Rumah Tanggas,Kaos Polos,495101,10,4951010.0,Kartu Kredit,Returned,SportMax
TRX-10107,2025/06/22,budi santoso,makassar,Olahraga,Lipstik Wardah,7463023,3,22389069.0,Transfer,Delivered,GadgetMart
TRX-10108,29-07-2025,MEGA PUTRI,Jekerte,Rumah Tanggas,Kaos Polos,1155534,100,115553400.0,E-Wallet,delivered,TrendShop
TRX-10109,2025-07-08,siti aminah,Mak,Macanan,Smartwatch,9663273,0,0.0,Kartu Kredit,,SportMax
TRX-10110,2025-06-12,rudi hartono,medan,Macanan,Smartwatch,7365360,15,110480400.0,Card,,PowerCell
TRX-10111,12-04-2025,AHMAD FAUZI,Sur,Fashions,Kaos Polos,8123461,5,23775922.637867372,Kartu Kredit,Delivered,HomeEssence
TRX-10112,2025/08/17,SITI AMINAH,Jak,Rumah Tangga,Vacuum Cleaner,3345990,100,334599000.0,Card,Returned,SportMax
TRX-10113,2025-06-07,DEWI LESTARI,Sur,elektronik,Powerbank 10K,9931393,15,148970895.0,COD,Delivered,PowerCell
TRX-10114,2025/07/30,budi santoso,makassar,Aksesoriss,Headphone JBL,110831800,15,83123850.0,Card,pending,PowerCell
TRX-10115,2025-04-05,siti aminah,Yog,Kecantican,Headphone JBL,6149628,1,6149628.0,COD,delivered,HomeEssence
TRX-10116,04-05-2025,Budi Santoso,Yogyakarta,elektronik,Vacuum Cleaner,2749015,1,2749015.0,E-Wallet,,PowerCell
TRX-10117,2025/07/21,AHMAD FAUZI,Makassar,elektronik,Powerbank 10K,2553771,1,2553771.0,Transfer,pending,TechZone
TRX-10118,2025/05/05,NANDA PRATAMA,Meden,Olahragas,Vacuum Cleaner,4233839,5,21169195.0,Ewallet,Delivered,PowerCell
TRX-10119,25-05-2025,budi santoso,Yogyekerte,Olahraga,Headphone JBL,168834,15,2532510.0,Ewallet,Delivered,TechZone
TRX-10120,02/05/2025,Dewi Lestari,denpasar,Acsesoris,Lipstik Wardah,5943309,3,17829927.0,,Returned,HomeEssence
TRX-10121,27-04-2025,Siti Aminah,medan,,Kaos Polos,4472201,3,13416603.0,Card,Delivered,GadgetMart
TRX-10122,2025-04-18,Nanda Pratama,Den,Olahragas,Vacuum Cleaner,9464323,100,946432300.0,Kartu Kredit,Canceled,TechZone
TRX-10123,09-05-2025,andi saputra,Bendung,Acsesoris,Kaos Polos,3553157,2,7106314.0,Transfer,Pending,GadgetMart
TRX-10124,08-03-2025,budi santoso,Den,Rumah Tangga,Laptop Asus,2035588,2,4071176.0,,Delivered,BeautyHub
TRX-10125,2025-06-11,rudi hartono,surabaya,Fashion,Powerbank 10K,9410133,1,9410133.0,COD,delivered,TrendShop
TRX-10126,2025-06-02,SITI AMINAH,Meden,Aksesoriss,Sepatu Nike,6804350,1,6804350.0,Card,Canceled,TrendShop
TRX-10127,24-04-2025,budi santoso,Med,Acsesoris,Headphone JBL,7069431,1,7069431.0,Transfer,Canceled,GadgetMart
TRX-10128,22-07-2025,Andi Saputra,Sur,Elektronik,Vacuum Cleaner,3429569,100,342956900.0,Ewallet,pending,TechZone
TRX-10129,05-08-2025,rudi hartono,Mekesser,olahraga,Headphone JBL,8661474,0,0.0,E-Wallet,pending,TechZone
TRX-10130,28/06/2025,Andi Saputra,Yogyekerte,makanan,Sepatu Nike,5637774,1,5637774.0,E-Wallet,Returned,GadgetMart
TRX-10131,2025/05/31,ANDI SAPUTRA,Yog,Electronic,Kaos Polos,8017801,5,40089005.0,Kartu Kredit,Canceled,PowerCell
TRX-10132,29/05/2025,Ahmad Fauzi,makassar,Kecantican,Vacuum Cleaner,8267316,100,826731600.0,Card,Delivered,PowerCell
TRX-10133,25-06-2025,Ahmad Fauzi,Yogyakarta,Rumah Tanggas,Sepatu Nike,233062,15,2827739.160318423,COD,Canceled,SportMax
TRX-10134,18-07-2025,Rudi Hartono,,Electronic,Kaos Polos,6145929,100,614592900.0,Ewallet,pending,BeautyHub
TRX-10135,2025-03-01,AHMAD FAUZI,Bendung,fashion,Powerbank 10K,4112958,1,4112958.0,Ewallet,Pending,HomeEssence
TRX-10136,04-06-2025,andi saputra,surabaya,Macanan,Smartwatch,579525,15,8692875.0,COD,Canceled,SportMax
TRX-10137,25-06-2025,rudi hartono,Yogyekerte,Macanan,Vacuum Cleaner,6715088,5,33575440.0,Kartu Kredit,Pending,SportMax
TRX-10138,08/05/2025,siti aminah,Jekerte,Acsesoris,Kaos Polos,7056454,1,7056454.0,Ewallet,Delivered,PowerCell
TRX-10139,2025-05-15,siti aminah,medan,Aksesoriss,Kaos Polos,2214367,1,2214367.0,,Returned,PowerCell
TRX-10140,2025-05-25,Mega Putri,Med,Fashions,Kaos Polos,8794220,2,17588440.0,Transfer,Canceled,TechZone
TRX-10141,2025/04/16,Siti Aminah,Jak,Aksesoriss,Powerbank 10K,7206720,1,7206720.0,Kartu Kredit,Returned,BeautyHub
TRX-10142,2025-07-22,Budi Santoso,surabaya,aksesoris,Vacuum Cleaner,814121,100,81412100.0,E-Wallet,Pending,PowerCell
TRX-10143,2025-08-23,Andi Saputra,Meden,Elektronik,Smartwatch,9608356,5,48041780.0,Transfer,pending,BeautyHub
TRX-10144,08/06/2025,siti aminah,Medan,Olahraga,Laptop Asus,5748848,2,11497696.0,COD,,HomeEssence
TRX-10145,2025-03-23,Ahmad Fauzi,,Makanans,Headphone JBL,5134921,100,513492100.0,E-Wallet,Canceled,HomeEssence
TRX-10146,2025-05-08,Ahmad Fauzi,surabaya,Rumah Tangga,Sepatu Nike,3743305,1,3743305.0,E-Wallet,delivered,PowerCell
TRX-10147,04/06/2025,NANDA PRATAMA,medan,aksesoris,Kaos Polos,4435536,10,44355360.0,Kartu Kredit,Delivered,PowerCell
TRX-10148,08/05/2025,Andi Saputra,Jak,Kecantikans,Smartwatch,1639228,1,1639228.0,Card,Pending,PowerCell
TRX-10149,2025/03/16,ANDI SAPUTRA,Sur,Electronic,Vacuum Cleaner,1150567,5,5752835.0,Card,Returned,GadgetMart
TRX-10150,2025/03/02,siti aminah,Yogyekerte,Kecantican,Kaos Polos,99115,1,99115.0,Transfer,Returned,BeautyHub
TRX-10151,30/07/2025,dewi lestari,,Kecantican,Lipstik Wardah,6007515,1,6007515.0,Card,Returned,TrendShop
TRX-10152,10-08-2025,ahmad fauzi,Jak,Olahragas,Lipstik Wardah,5296880,1,5296880.0,Transfer,Delivered,HomeEssence
TRX-10153,18-08-2025,AHMAD FAUZI,denpasar,,Smartwatch,301492,1,171016.3210963213,Card,Canceled,PowerCell
TRX-10154,04-05-2025,ANDI SAPUTRA,,Kecantican,Smartwatch,1136880,10,11368800.0,Ewallet,Pending,BeautyHub
TRX-10155,2025/05/13,mega putri,Yog,Fashion,Headphone JBL,2105723,1,2105723.0,Kartu Kredit,delivered,GadgetMart
TRX-10156,2025-04-04,dewi lestari,Yogyekerte,Fashion,Smartwatch,2698790,0,0.0,COD,Delivered,GadgetMart
TRX-10157,29/05/2025,Nanda Pratama,Den,Rumah Tangga,Kaos Polos,4883177,100,488317700.0,E-Wallet,Canceled,SportMax
TRX-10158,29/05/2025,siti aminah,makassar,elektronik,Powerbank 10K,3403597,1,3403597.0,Kartu Kredit,Delivered,PowerCell
TRX-10159,2025/06/23,NANDA PRATAMA,Bandung,,Vacuum Cleaner,2647480,5,13237400.0,Card,Returned,BeautyHub
TRX-10160,27-04-2025,MEGA PUTRI,jakarta,Kecantikan,Smartwatch,6168900,1,6168900.0,Ewallet,Canceled,TrendShop
TRX-10161,14/05/2025,siti aminah,Makassar,Aksesoris,Powerbank 10K,581831,1,581831.0,COD,Canceled,HomeEssence
TRX-10162,21/03/2025,AHMAD FAUZI,Surabaya,kecantikan,Lipstik Wardah,3419720,1,3419720.0,E-Wallet,,BeautyHub
TRX-10163,2025-07-16,SITI AMINAH,makassar,Fashion,Headphone JBL,6904500,15,103567500.0,Transfer,Delivered,TechZone
TRX-10164,2025/07/30,RUDI HARTONO,Medan,Macanan,Lipstik Wardah,9272335,1,9272335.0,Card,Returned,PowerCell
TRX-10165,24-08-2025,BUDI SANTOSO,jakarta,Makanans,Smartwatch,5113778,1,5113778.0,E-Wallet,delivered,TrendShop
TRX-10166,2025/06/04,AHMAD FAUZI,Den,makanan,Sepatu Nike,4172263,5,20861315.0,,Canceled,TrendShop
TRX-10167,06-04-2025,budi santoso,medan,Fashion,Headphone JBL,1405531,0,0.0,Kartu Kredit,delivered,GadgetMart
TRX-10168,13/03/2025,siti aminah,Mak,fashion,Smartwatch,7040102,15,105601530.0,Kartu Kredit,Returned,PowerCell
TRX-10169,07-06-2025,Andi Saputra,Meden,fashion,Sepatu Nike,6756024,0,0.0,Ewallet,pending,HomeEssence
TRX-10170,21-06-2025,DEWI LESTARI,Jakarta,makanan,Lipstik Wardah,116631300,1,5831565.0,Kartu Kredit,Canceled,TechZone
TRX-10171,20-06-2025,ANDI SAPUTRA,makassar,Kecantican,Kaos Polos,3314908,1,3314908.0,,delivered,PowerCell
TRX-10172,2025-08-24,Siti Aminah,,,Sepatu Nike,6536460,15,98046900.0,COD,delivered,BeautyHub
TRX-10173,25-07-2025,Andi Saputra,jakarta,Rumah Tangga,Smartwatch,6247323,15,93709845.0,COD,delivered,BeautyHub
TRX-10174,28/03/2025,AHMAD FAUZI,surabaya,Macanan,Sepatu Nike,3671581,1,3671581.0,Ewallet,delivered,GadgetMart
TRX-10175,2025/05/22,Nanda Pratama,Sur,Rumah Tangga,Vacuum Cleaner,3649865,2,7299730.0,Card,pending,HomeEssence
TRX-10176,2025-05-08,nanda pratama,yogyakarta,Rumah Tangga,Smartwatch,1089458,15,16341870.0,Card,pending,BeautyHub
TRX-10177,27-08-2025,SITI AMINAH,Bandung,Olahraga,Laptop Asus,2813642,2,4578878.693015126,COD,Returned,HomeEssence
TRX-10178,22/04/2025,MEGA PUTRI,Denpeser,,Powerbank 10K,247775,15,3716625.0,Ewallet,Canceled,HomeEssence
TRX-10179,08-04-2025,mega putri,Bendung,Olahraga,Sepatu Nike,5901244,2,11802488.0,Card,pending,HomeEssence
TRX-10180,2025/04/11,Nanda Pratama,Ban,Olahraga,Laptop Asus,6887433,5,34437165.0,E-Wallet,Canceled,HomeEssence
TRX-10181,20/07/2025,nanda pratama,Med,Olahraga,Lipstik Wardah,5133769,2,10267538.0,,delivered,GadgetMart
TRX-10182,10-08-2025,Ahmad Fauzi,Surabaya,Kecantikan,Sepatu Nike,4282406,1,4282406.0,Card,Canceled,HomeEssence
TRX-10183,15-05-2025,Rudi Hartono,Den,Olahraga,Powerbank 10K,2326360,100,232636000.0,Card,delivered,TrendShop
TRX-10184,23/07/2025,ANDI SAPUTRA,makassar,rumah tangga,Headphone JBL,8964438,10,89644380.0,,pending,GadgetMart
TRX-10185,2025-08-17,Siti Aminah,makassar,Makanans,Smartwatch,9156824,1,9156824.0,E-Wallet,Canceled,PowerCell
TRX-10186,2025-03-27,BUDI SANTOSO,makassar,Olahraga,Powerbank 10K,8955921,2,17911842.0,COD,Delivered,SportMax
TRX-10187,29-03-2025,Nanda Pratama,Yog,Elektronik,Lipstik Wardah,9776290,10,97762900.0,Transfer,Canceled,PowerCell
TRX-10188,17-06-2025,Nanda Pratama,Denpeser,kecantikan,Kaos Polos,6293669,1,6293669.0,Card,Returned,HomeEssence
TRX-10189,2025/07/23,Siti Aminah,Yog,Acsesoris,Laptop Asus,8365390,5,41826950.0,Card,Returned,SportMax
TRX-10190,14-04-2025,Ahmad Fauzi,Medan,fashion,Smartwatch,5459861,1,5459861.0,COD,Delivered,PowerCell
TRX-10191,16-06-2025,rudi hartono,Den,Kecantican,Headphone JBL,8465398,100,846539800.0,E-Wallet,pending,TrendShop
TRX-10192,2025-05-29,budi santoso,surabaya,Macanan,Kaos Polos,9187682,5,45938410.0,,Canceled,BeautyHub
TRX-10193,04/07/2025,Rudi Hartono,medan,Macanan,Vacuum Cleaner,1929490,1,1929490.0,Kartu Kredit,delivered,SportMax
TRX-10194,04/07/2025,RUDI HARTONO,,Olahragas,Sepatu Nike,6989705,1,7438225.438918518,,delivered,BeautyHub
TRX-10195,30/04/2025,Siti Aminah,Surebeye,elektronik,Smartwatch,3369144,5,17020500.308938,Transfer,Returned,TrendShop
TRX-10196,01-03-2025,NANDA PRATAMA,Jekerte,Rumah Tangga,Headphone JBL,5856466,15,87846990.0,Transfer,pending,TrendShop
TRX-10197,2025-06-21,andi saputra,Surabaya,,Kaos Polos,3743976,10,37439760.0,,Delivered,PowerCell
TRX-10198,08-08-2025,Siti Aminah,Denpeser,Kecantikans,Smartwatch,4085493,2,8170986.0,Kartu Kredit,Returned,TechZone
TRX-10199,12/07/2025,Ahmad Fauzi,Bendung,olahraga,Laptop Asus,5753737,2,11507474.0,Transfer,Canceled,GadgetMart
TRX-10200,19-05-2025,Mega Putri,Bendung,kecantikan,Lipstik Wardah,1584837,2,3169674.0,Card,Delivered,TechZone
TRX-10201,11-08-2025,Andi Saputra,Bandung,Elektronik,Smartwatch,473570,1,473570.0,Card,Delivered,TrendShop
